,,,,,,,,,,,,,,,,
Part,Quantity,In possesion,,,,,,,,,,,,,,
 ESP-32 module,1,TRUE,,,,,,,,,,,,,,
TB6612FNG module,1,TRUE,,,,,,,,,,,,,,
LM2596 module,1,TRUE,,,,,,,,,,,,,,
DC motor with encoder,2,TRUE,,,,,,,,,,,,,,
16 char LCD display,1,TRUE,,,,,,,,,,,,,,
"7,2V Ni Mah battery",1,TRUE,,,,,,,,,,,,,,
switch,1,TRUE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Part,Quantity,In possesion,,,,,,,,,,,,,,
1kg PLA filament,1,TRUE,,,,,,,,,,,,,,
Wheel,2,TRUE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Index,Manufacturer Part Number,Manufacturer Name,Description,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Requested Part Number,Reference Designator,Original Part numbers,Unit of Measure,Product Notes
1,SS34,"Shenzhen Slkormicro Semicon Co., Ltd.",DIODE SCHOTTKY 40V 3A DO214AC,,2,2,Cut Tape (CT),5399-SS34CT-ND,"0,13000",€0.26,1,5399-SS34CT-ND,,5399-SS34CT-ND,Each,
2,3568,Keystone Electronics,FUSE HOLDER BLADE 500V 30A PCB,,2,2,Bulk,36-3568-ND,"1,18000",€2.36,1,36-3568-ND,,36-3568-ND,Each,
3,1729128,Phoenix Contact,TERM BLK 2P SIDE ENT 5.08MM PCB,,6,6,Bulk,277-1247-ND,"0,83000",€4.98,1,277-1247-ND,,277-1247-ND,Each,
4,1729144,Phoenix Contact,TERM BLK 4P SIDE ENT 5.08MM PCB,,4,4,Bulk,277-1249-ND,"1,70000",€6.80,1,277-1249-ND,,277-1249-ND,Each,
5,SSW-101-02-G-S,Samtec Inc.,"CONN RCPT .100"" 1POS SNGL GOLD",,8,8,Bulk,612-SSW-101-02-G-S-ND,"0,66000",€5.28,1,612-SSW-101-02-G-S-ND,,612-SSW-101-02-G-S-ND,Each,
6,SSW-115-02-G-S,Samtec Inc.,"CONN RCPT .100"" 15POS SNGL GOLD",,4,4,Bulk,612-SSW-115-02-G-S-ND,"2,83000",€11.32,1,612-SSW-115-02-G-S-ND,,612-SSW-115-02-G-S-ND,Each,
7,SSW-104-02-G-S,Samtec Inc.,"CONN RCPT .100"" 4POS SNGL GOLD",,2,2,Bulk,612-SSW-104-02-G-S-ND,"1,22000",€2.44,1,612-SSW-104-02-G-S-ND,,612-SSW-104-02-G-S-ND,Each,
8,SSW-110-02-G-S,Samtec Inc.,"CONN RCPT .100"" 10POS SNGL GOLD",,2,2,Bulk,612-SSW-110-02-G-S-ND,"1,89000",€3.78,1,612-SSW-110-02-G-S-ND,,612-SSW-110-02-G-S-ND,Each,
9,SSW-108-02-G-S,Samtec Inc.,"CONN RCPT .100"" 8POS SNGL GOLD",,4,4,Bulk,612-SSW-108-02-G-S-ND,"1,51000",€6.04,1,612-SSW-108-02-G-S-ND,,612-SSW-108-02-G-S-ND,Each,
10,B2B-XH-A,JST Sales America Inc.,CONN HEADER VERT 2POS 2.5MM,,2,2,Bulk,455-B2B-XH-A-ND,"0,09000",€0.18,1,455-B2B-XH-A-ND,,455-B2B-XH-A-ND,Each,
11,RC0805FR-131KL,YAGEO,RES 1K OHM 1% 1/8W 0805,,2,2,Cut Tape (CT),13-RC0805FR-131KLCT-ND,"0,09000",€0.18,1,13-RC0805FR-131KLCT-ND,,13-RC0805FR-131KLCT-ND,Each,
12,16SEPF1000M,Panasonic Industry,CAP ALUM POLY 1000UF 20% 16V TH,,2,2,Bulk,P16300-ND,"2,21000",€4.42,1,P16300-ND,,P16300-ND,Each,
13,16SEPG470M,Panasonic Industry,CAP ALUM POLY 470UF 20% 16V TH,,2,2,Bulk,P122605-ND,"1,52000",€3.04,1,P122605-ND,,P122605-ND,Each,
14,C0805J104K3RACTU,KEMET,.100UF 25.0V,,4,4,Cut Tape (CT),399-C0805J104K3RACTUCT-ND,"0,67000",€2.68,1,399-C0805J104K3RACTUCT-ND,,399-C0805J104K3RACTUCT-ND,Each,
15,LG R971-KN-1-0-20-R18,ams OSRAM AG,LED GREEN DIFFUSED 0805 SMD,,2,2,Cut Tape (CT),475-LGR971-KN-1CT-ND,"0,15000",€0.30,1,475-LGR971-KN-1CT-ND,,475-LGR971-KN-1CT-ND,Each,
16,35RX30100M8X11.5,Rubycon,CAP ALUM 100UF 20% 35V RADIAL TH,,2,2,Bulk,1189-1895-ND,"0,47000",€0.94,1,1189-1895-ND,,1189-1895-ND,Each,
,,,,,,,,,,,,,,,,
,PCB,PCB Parts,Total needed,,,,,,,,,,,,,
,€35.52,"€55,00","€90,52",,,,,,,,,,,,,
