Comment,Designator,Footprint,Quantity
Power_LED,D1,LED_0805_2012Metric,1
LM2596-OUT+,J4,PinSocket_1x01_P2.54mm_Vertical,1
100nF,"C5,C6",C_0805_2012Metric,2
TestPoint-GND,TP2,TestPoint_Pad_D1.5mm,1
ESP-32-LEFT,J6,PinSocket_1x15_P2.54mm_Vertical,1
MotorB,J14,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1
TestPoint-ESP-3.3V,TP4,TestPoint_Pad_D1.5mm,1
MotorA,J13,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1
EncoderB,J15,"TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",1
TestPoint-7.2V,TP1,TestPoint_Pad_D1.5mm,1
1000µF,C1,CP_Radial_D10.0mm_P5.00mm,1
7.2V,J1,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1
SS34,D2,D_SMA,1
ICM0948,J10,PinSocket_1x10_P2.54mm_Vertical,1
470µF,C4,CP_Radial_D8.0mm_P3.50mm,1
TB6612FNG_LEFT,J9,PinSocket_1x08_P2.54mm_Vertical,1
LM2596-IN-,J3,PinSocket_1x01_P2.54mm_Vertical,1
ESP-32-RIGHT,J8,PinSocket_1x15_P2.54mm_Vertical,1
TB6612FNG_RIGHT,J11,PinSocket_1x08_P2.54mm_Vertical,1
LCD-2x16,J7,PinSocket_1x04_P2.54mm_Vertical,1
LM2596-OUT-,J5,PinSocket_1x01_P2.54mm_Vertical,1
Power_Switch,J16,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1
3A,F1,Fuseholder_Blade_Mini_Keystone_3568,1
LM2596-IN+,J2,PinSocket_1x01_P2.54mm_Vertical,1
100 µF,C2,CP_Radial_D8.0mm_P3.50mm,1
TestPoint-5V,TP3,TestPoint_Pad_D1.5mm,1
1K,R1,R_0805_2012Metric,1
EncoderA,J12,"TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",1
